seed,variant,epoch,ADE,FDE
42,directional_sum,1,0.6653934717178345,1.2313154935836792
42,directional_sum,2,0.669112503528595,1.2479701042175293
42,directional_sum,3,0.7998139262199402,1.503644347190857
42,directional_sum,4,0.6571885347366333,1.2373579740524292
42,directional_sum,5,0.5695419311523438,1.0726662874221802
42,directional_sum,6,0.5844821929931641,1.0942237377166748
42,directional_sum,7,0.7262300848960876,1.4241071939468384
42,directional_sum,8,0.5864282250404358,1.0957894325256348
42,directional_sum,9,0.6106319427490234,1.15394926071167
42,directional_sum,10,0.6157294511795044,1.186139464378357
43,directional_sum,1,0.8108432292938232,1.4901224374771118
43,directional_sum,2,0.7675380706787109,1.4099130630493164
43,directional_sum,3,0.6785882711410522,1.2568788528442383
43,directional_sum,4,0.6449935436248779,1.2147892713546753
43,directional_sum,5,0.6220051646232605,1.180789589881897
43,directional_sum,6,0.6358235478401184,1.188883662223816
43,directional_sum,7,0.6301390528678894,1.198874592781067
43,directional_sum,8,0.5518777370452881,1.0852080583572388
43,directional_sum,9,0.5534382462501526,1.0739067792892456
43,directional_sum,10,0.5172640681266785,0.9913547039031982
44,directional_sum,1,0.6631894707679749,1.262573480606079
44,directional_sum,2,0.6130335330963135,1.141912817955017
44,directional_sum,3,0.6671203374862671,1.283477783203125
44,directional_sum,4,0.6202003955841064,1.1689103841781616
44,directional_sum,5,0.5484054088592529,1.0185809135437012
44,directional_sum,6,0.5777379274368286,1.0882021188735962
44,directional_sum,7,0.5882808566093445,1.1700345277786255
44,directional_sum,8,0.5299304127693176,0.9811833500862122
44,directional_sum,9,0.6728169322013855,1.2784591913223267
44,directional_sum,10,0.5309021472930908,1.038303256034851
