split,variant,seed,selected_epoch,scenes,ADE,FDE
val,constant_velocity,-1,0,12,0.23733101785182953,0.4491218328475952
val,directional_sum,42,5,12,0.5695419311523438,1.0726662874221802
val,directional_sum,43,10,12,0.5172640681266785,0.9913547039031982
val,directional_sum,44,8,12,0.5299304127693176,0.9811833500862122
test,constant_velocity,-1,0,12,0.12512816488742828,0.2338729053735733
test,directional_sum,42,5,12,0.7050726413726807,1.3231441974639893
test,directional_sum,43,10,12,0.6528458595275879,1.2326735258102417
test,directional_sum,44,8,12,0.7488222122192383,1.373326301574707
