split,variant,ADE_mean,ADE_std,FDE_mean,FDE_std
test,constant_velocity,0.1251281648874282,0.0,0.2338729053735733,0.0
test,directional_sum,0.702246904373169,0.048050532371565084,1.309714674949646,0.07128158870833814
test,large_grid,0.6750309665997823,0.10223907086378953,1.299228350321452,0.1680671984863634
test,no_neighbours,0.5544264117876688,0.04620792022567289,1.1187066634496052,0.07265052694576356
test,small_grid,0.6918442447980245,0.05276703349064262,1.3218010266621907,0.08198283052744959
test,social,0.6138697465260824,0.05770850299338492,1.2051541407903035,0.14989396849090691
test,sum_pool,0.7140998840332031,0.03129937629919826,1.3750063180923462,0.06781715568122595
val,constant_velocity,0.2373310178518295,0.0,0.4491218328475952,0.0
val,directional_sum,0.5389121373494467,0.0272717302890287,1.0150681138038635,0.05014006693994226
val,large_grid,0.483531375726064,0.08184752145680756,0.9169608950614929,0.13090323109526086
val,no_neighbours,0.44102304180463153,0.03630949181112662,0.8801785508791605,0.059909679139820586
val,small_grid,0.5312532385190328,0.01890529347940727,1.0346914132436116,0.03300268386546265
val,social,0.4943203628063202,0.022941230440875173,0.9655890663464864,0.039276421388738554
val,sum_pool,0.5127216974894205,0.016529474030149933,0.9846091866493225,0.01780359925139351
