split,scene_id,observation_index,side_m,visible_neighbours,occupied_cells,multi_neighbour_cells
train,7,1,4.0,3,3,0
train,7,1,8.0,8,6,1
train,7,2,2.0,2,2,0
train,7,2,4.0,3,3,0
train,7,2,8.0,8,6,1
train,7,3,2.0,2,2,0
train,7,3,4.0,3,3,0
train,7,3,8.0,8,6,1
train,7,4,2.0,2,2,0
train,7,4,4.0,3,3,0
train,7,4,8.0,8,6,1
train,7,5,2.0,2,2,0
train,7,5,4.0,3,3,0
train,7,5,8.0,8,6,1
train,7,6,2.0,2,2,0
train,7,6,4.0,3,3,0
train,7,6,8.0,8,6,1
train,7,7,2.0,2,2,0
train,7,7,4.0,3,3,0
train,7,7,8.0,8,6,1
train,8,0,2.0,1,1,0
train,8,0,4.0,3,3,0
train,8,0,8.0,9,7,2
train,8,1,2.0,1,1,0
train,8,1,4.0,3,3,0
train,8,1,8.0,9,7,2
train,8,2,2.0,1,1,0
train,8,2,4.0,3,3,0
train,8,2,8.0,10,7,3
train,8,3,2.0,1,1,0
train,8,3,4.0,3,3,0
train,8,3,8.0,10,7,3
train,8,4,2.0,1,1,0
train,8,4,4.0,3,3,0
train,8,4,8.0,10,7,3
train,8,5,2.0,1,1,0
train,8,5,4.0,3,3,0
train,8,5,8.0,10,7,3
train,8,6,2.0,1,1,0
train,8,6,4.0,3,3,0
train,8,6,8.0,10,7,3
train,8,7,2.0,1,1,0
train,8,7,4.0,3,3,0
train,8,7,8.0,10,8,2
train,9,0,2.0,1,1,0
train,9,0,4.0,4,4,0
train,9,0,8.0,9,7,2
train,9,1,2.0,1,1,0
train,9,1,4.0,4,4,0
train,9,1,8.0,9,6,3
train,9,2,2.0,1,1,0
train,9,2,4.0,4,4,0
train,9,2,8.0,9,6,3
train,9,3,2.0,1,1,0
train,9,3,4.0,3,3,0
train,9,3,8.0,9,6,3
train,9,4,2.0,1,1,0
train,9,4,4.0,3,3,0
train,9,4,8.0,10,6,3
train,9,5,2.0,1,1,0
train,9,5,4.0,3,3,0
train,9,5,8.0,9,8,1
train,9,6,2.0,1,1,0
train,9,6,4.0,3,3,0
train,9,6,8.0,10,8,2
train,9,7,2.0,1,1,0
train,9,7,4.0,3,3,0
train,9,7,8.0,11,7,4
train,10,0,2.0,0,0,0
train,10,0,4.0,3,2,1
train,10,0,8.0,10,5,3
train,10,1,2.0,0,0,0
train,10,1,4.0,3,2,1
train,10,1,8.0,10,5,3
train,10,2,2.0,0,0,0
train,10,2,4.0,3,2,1
train,10,2,8.0,10,5,3
train,10,3,2.0,0,0,0
train,10,3,4.0,3,2,1
train,10,3,8.0,10,5,3
train,10,4,2.0,0,0,0
train,10,4,4.0,3,2,1
train,10,4,8.0,10,5,3
train,10,5,2.0,0,0,0
train,10,5,4.0,3,2,1
train,10,5,8.0,11,6,4
train,10,6,2.0,0,0,0
train,10,6,4.0,2,2,0
train,10,6,8.0,11,7,3
train,10,7,2.0,0,0,0
train,10,7,4.0,2,2,0
train,10,7,8.0,12,7,3
train,11,0,2.0,2,2,0
train,11,0,4.0,3,3,0
train,11,0,8.0,8,7,1
train,11,1,2.0,2,2,0
train,11,1,4.0,3,3,0
train,11,1,8.0,8,7,1
train,11,2,2.0,2,2,0
train,11,2,4.0,3,3,0
train,11,2,8.0,8,6,1
train,11,3,2.0,2,2,0
train,11,3,4.0,3,3,0
train,11,3,8.0,8,6,1
train,11,4,2.0,2,2,0
train,11,4,4.0,3,3,0
train,11,4,8.0,9,7,1
train,11,5,2.0,2,2,0
train,11,5,4.0,3,3,0
train,11,5,8.0,9,6,2
train,11,6,2.0,2,2,0
train,11,6,4.0,3,3,0
train,11,6,8.0,9,7,2
train,11,7,2.0,2,2,0
train,11,7,4.0,3,3,0
train,11,7,8.0,9,7,2
train,12,0,2.0,1,1,0
train,12,0,4.0,3,3,0
train,12,0,8.0,11,8,3
train,12,1,2.0,1,1,0
train,12,1,4.0,4,4,0
train,12,1,8.0,11,8,3
train,12,2,2.0,1,1,0
train,12,2,4.0,4,4,0
train,12,2,8.0,11,8,3
train,12,3,2.0,1,1,0
train,12,3,4.0,4,4,0
train,12,3,8.0,11,8,3
train,12,4,2.0,1,1,0
train,12,4,4.0,4,4,0
train,12,4,8.0,11,9,2
train,12,5,2.0,1,1,0
train,12,5,4.0,5,4,1
train,12,5,8.0,11,8,3
train,12,6,2.0,1,1,0
train,12,6,4.0,5,4,1
train,12,6,8.0,11,8,3
train,12,7,2.0,1,1,0
train,12,7,4.0,5,4,1
train,12,7,8.0,12,8,4
train,13,0,2.0,1,1,0
train,13,0,4.0,3,3,0
train,13,0,8.0,11,7,4
train,13,1,2.0,1,1,0
train,13,1,4.0,3,3,0
train,13,1,8.0,12,7,4
train,13,2,2.0,1,1,0
train,13,2,4.0,3,3,0
train,13,2,8.0,11,8,3
train,13,3,2.0,1,1,0
train,13,3,4.0,3,3,0
train,13,3,8.0,11,8,3
train,13,4,2.0,1,1,0
train,13,4,4.0,3,3,0
train,13,4,8.0,12,8,4
train,13,5,2.0,1,1,0
train,13,5,4.0,3,3,0
train,13,5,8.0,12,8,4
train,13,6,2.0,1,1,0
train,13,6,4.0,4,4,0
train,13,6,8.0,12,9,3
train,13,7,2.0,1,1,0
train,13,7,4.0,4,4,0
train,13,7,8.0,12,9,2
train,14,0,2.0,0,0,0
train,14,0,4.0,2,2,0
train,14,0,8.0,12,7,3
train,14,1,2.0,0,0,0
train,14,1,4.0,2,2,0
train,14,1,8.0,12,8,3
train,14,2,2.0,0,0,0
train,14,2,4.0,3,2,1
train,14,2,8.0,13,9,3
train,14,3,2.0,0,0,0
train,14,3,4.0,3,2,1
train,14,3,8.0,13,9,3
train,14,4,2.0,0,0,0
train,14,4,4.0,3,2,1
train,14,4,8.0,14,9,4
train,14,5,2.0,0,0,0
train,14,5,4.0,3,2,1
train,14,5,8.0,13,9,3
train,14,6,2.0,1,1,0
train,14,6,4.0,2,2,0
train,14,6,8.0,13,9,3
train,14,7,2.0,1,1,0
train,14,7,4.0,3,3,0
train,14,7,8.0,13,8,4
train,15,0,2.0,2,2,0
train,15,0,4.0,3,3,0
train,15,0,8.0,10,7,2
train,15,1,2.0,1,1,0
train,15,1,4.0,3,3,0
train,15,1,8.0,10,7,2
train,15,2,2.0,1,1,0
train,15,2,4.0,3,3,0
train,15,2,8.0,11,7,3
train,15,3,2.0,1,1,0
train,15,3,4.0,3,3,0
train,15,3,8.0,12,7,4
train,15,4,2.0,1,1,0
train,15,4,4.0,3,3,0
train,15,4,8.0,12,7,4
train,15,5,2.0,1,1,0
train,15,5,4.0,3,3,0
train,15,5,8.0,11,8,2
train,15,6,2.0,1,1,0
train,15,6,4.0,2,2,0
train,15,6,8.0,11,9,1
train,15,7,2.0,1,1,0
train,15,7,4.0,3,3,0
train,15,7,8.0,11,10,1
train,16,0,2.0,1,1,0
train,16,0,4.0,5,4,1
train,16,0,8.0,12,9,3
train,16,1,2.0,1,1,0
train,16,1,4.0,6,6,0
train,16,1,8.0,13,10,3
train,16,2,2.0,1,1,0
train,16,2,4.0,5,5,0
train,16,2,8.0,14,11,3
train,16,3,2.0,2,2,0
train,16,3,4.0,5,4,1
train,16,3,8.0,16,11,5
train,16,4,2.0,2,2,0
train,16,4,4.0,5,5,0
train,16,4,8.0,16,11,5
train,16,5,2.0,2,2,0
train,16,5,4.0,6,6,0
train,16,5,8.0,16,11,5
train,16,6,2.0,2,2,0
train,16,6,4.0,6,6,0
train,16,6,8.0,19,12,6
train,16,7,2.0,2,2,0
train,16,7,4.0,6,6,0
train,16,7,8.0,20,12,6
train,17,0,2.0,1,1,0
train,17,0,4.0,4,4,0
train,17,0,8.0,13,9,3
train,17,1,2.0,1,1,0
train,17,1,4.0,4,4,0
train,17,1,8.0,13,9,3
train,17,2,2.0,1,1,0
train,17,2,4.0,5,5,0
train,17,2,8.0,14,9,2
train,17,3,2.0,1,1,0
train,17,3,4.0,5,5,0
train,17,3,8.0,15,9,3
train,17,4,2.0,1,1,0
train,17,4,4.0,5,5,0
train,17,4,8.0,15,9,4
train,17,5,2.0,1,1,0
train,17,5,4.0,5,5,0
train,17,5,8.0,15,9,4
train,17,6,2.0,1,1,0
train,17,6,4.0,6,6,0
train,17,6,8.0,15,9,4
train,17,7,2.0,1,1,0
train,17,7,4.0,6,5,1
train,17,7,8.0,16,9,5
train,18,0,2.0,1,1,0
train,18,0,4.0,4,3,1
train,18,0,8.0,13,7,4
train,18,1,2.0,1,1,0
train,18,1,4.0,4,3,1
train,18,1,8.0,13,7,3
train,18,2,2.0,1,1,0
train,18,2,4.0,4,3,1
train,18,2,8.0,13,8,3
train,18,3,2.0,2,2,0
train,18,3,4.0,4,4,0
train,18,3,8.0,13,9,2
train,18,4,2.0,2,2,0
train,18,4,4.0,4,4,0
train,18,4,8.0,13,9,2
train,18,5,2.0,2,2,0
train,18,5,4.0,4,4,0
train,18,5,8.0,13,9,3
train,18,6,2.0,2,2,0
train,18,6,4.0,4,4,0
train,18,6,8.0,13,9,3
train,18,7,2.0,2,2,0
train,18,7,4.0,4,4,0
train,18,7,8.0,13,9,3
train,19,0,2.0,1,1,0
train,19,0,4.0,3,3,0
train,19,0,8.0,11,10,1
train,19,1,2.0,0,0,0
train,19,1,4.0,3,3,0
train,19,1,8.0,11,10,1
train,19,2,2.0,0,0,0
train,19,2,4.0,4,4,0
train,19,2,8.0,12,10,1
train,19,3,2.0,0,0,0
train,19,3,4.0,4,4,0
train,19,3,8.0,13,10,2
train,19,4,2.0,0,0,0
train,19,4,4.0,4,4,0
train,19,4,8.0,13,10,2
train,19,5,2.0,1,1,0
train,19,5,4.0,4,4,0
train,19,5,8.0,12,10,2
train,19,6,2.0,0,0,0
train,19,6,4.0,4,4,0
train,19,6,8.0,13,9,2
train,19,7,2.0,1,1,0
train,19,7,4.0,4,4,0
train,19,7,8.0,14,9,3
train,20,0,2.0,3,3,0
train,20,0,4.0,6,5,1
train,20,0,8.0,20,12,6
train,20,1,2.0,3,3,0
train,20,1,4.0,6,5,1
train,20,1,8.0,20,13,6
train,20,2,2.0,3,3,0
train,20,2,4.0,7,6,1
train,20,2,8.0,20,12,6
train,20,3,2.0,3,3,0
train,20,3,4.0,7,6,1
train,20,3,8.0,21,11,6
train,20,4,2.0,3,3,0
train,20,4,4.0,7,6,1
train,20,4,8.0,21,12,5
train,20,5,2.0,3,3,0
train,20,5,4.0,7,6,1
train,20,5,8.0,22,12,5
train,20,6,2.0,2,2,0
train,20,6,4.0,7,5,2
train,20,6,8.0,27,13,7
train,20,7,2.0,2,2,0
train,20,7,4.0,7,5,2
train,20,7,8.0,27,13,8
train,21,0,2.0,2,1,1
train,21,0,4.0,6,5,1
train,21,0,8.0,17,10,4
train,21,1,2.0,2,1,1
train,21,1,4.0,5,4,1
train,21,1,8.0,17,10,4
train,21,2,2.0,2,2,0
train,21,2,4.0,5,4,1
train,21,2,8.0,18,10,5
train,21,3,2.0,2,2,0
train,21,3,4.0,5,4,1
train,21,3,8.0,19,10,5
train,21,4,2.0,2,2,0
train,21,4,4.0,5,4,1
train,21,4,8.0,19,10,5
train,21,5,2.0,2,2,0
train,21,5,4.0,6,5,1
train,21,5,8.0,19,10,5
train,21,6,2.0,2,2,0
train,21,6,4.0,7,6,1
train,21,6,8.0,19,10,5
train,21,7,2.0,2,2,0
train,21,7,4.0,6,5,1
train,21,7,8.0,21,10,7
train,22,0,2.0,3,3,0
train,22,0,4.0,4,3,1
train,22,0,8.0,14,9,3
train,22,1,2.0,2,2,0
train,22,1,4.0,4,3,1
train,22,1,8.0,13,7,3
train,22,2,2.0,2,2,0
train,22,2,4.0,4,4,0
train,22,2,8.0,13,8,3
train,22,3,2.0,2,2,0
train,22,3,4.0,4,4,0
train,22,3,8.0,13,8,3
train,22,4,2.0,2,2,0
train,22,4,4.0,5,5,0
train,22,4,8.0,14,9,4
train,22,5,2.0,2,2,0
train,22,5,4.0,4,3,1
train,22,5,8.0,15,7,5
train,22,6,2.0,2,2,0
train,22,6,4.0,4,2,2
train,22,6,8.0,15,8,4
train,22,7,2.0,1,1,0
train,22,7,4.0,4,3,1
train,22,7,8.0,16,9,4
train,23,0,2.0,1,1,0
train,23,0,4.0,3,3,0
train,23,0,8.0,14,10,3
train,23,1,2.0,1,1,0
train,23,1,4.0,3,3,0
train,23,1,8.0,15,11,3
train,23,2,2.0,2,2,0
train,23,2,4.0,3,2,1
train,23,2,8.0,18,10,4
train,23,3,2.0,2,2,0
train,23,3,4.0,4,3,1
train,23,3,8.0,18,9,3
train,23,4,2.0,2,2,0
train,23,4,4.0,4,3,1
train,23,4,8.0,20,10,5
train,23,5,2.0,2,2,0
train,23,5,4.0,6,5,1
