split,variant,ADE_mean,ADE_sd,FDE_mean,FDE_sd
val,constant_velocity,0.2373310178518295,0.0,0.4491218328475952,0.0
val,social,0.4943203628063202,0.022941230440875173,0.9655890663464864,0.039276421388738554
val,no_neighbours,0.44102304180463153,0.03630949181112662,0.8801785508791605,0.059909679139820586
val,small_grid,0.5312532385190328,0.01890529347940727,1.0346914132436116,0.03300268386546265
val,large_grid,0.483531375726064,0.08184752145680756,0.9169608950614929,0.13090323109526086
test,constant_velocity,0.1251281648874282,0.0,0.2338729053735733,0.0
test,social,0.6138697465260824,0.05770850299338492,1.2051541407903035,0.14989396849090691
test,no_neighbours,0.5544264117876688,0.04620792022567289,1.1187066634496052,0.07265052694576356
test,small_grid,0.6918442447980245,0.05276703349064262,1.3218010266621907,0.08198283052744959
test,large_grid,0.6750309665997823,0.10223907086378953,1.299228350321452,0.1680671984863634
