split,scenes,time_windows,mean_primary_step_speed_m_s,definition
train,56,14,1.8443597555160522,mean over primary tracks and all 19 intervals per 20-point window; descriptive only
val,12,3,1.1472970247268677,mean over primary tracks and all 19 intervals per 20-point window; descriptive only
test,12,3,0.2425781488418579,mean over primary tracks and all 19 intervals per 20-point window; descriptive only
