variant,scene_id,seed,primary_id,ADE_delta,FDE_delta
no_neighbours,68,42,1,-0.10165715217590332,-0.21217548847198486
no_neighbours,69,42,17,-0.011755168437957764,-0.06275737285614014
no_neighbours,70,42,33,0.008364439010620117,0.05963236093521118
no_neighbours,71,42,49,-0.13246691226959229,-0.21864652633666992
no_neighbours,72,42,1,-0.20048421621322632,-0.41628730297088623
no_neighbours,73,42,17,-0.05357789993286133,-0.13456714153289806
no_neighbours,74,42,33,0.037580907344818115,0.09271341562271118
no_neighbours,75,42,49,-0.02841019630432129,-0.017966508865356667
no_neighbours,76,42,1,-0.13349711894989014,-0.2560492753982544
no_neighbours,77,42,17,-0.039736807346343994,-0.08375310897827148
no_neighbours,78,42,33,-0.035234034061431885,-0.13440144062042259
no_neighbours,79,42,49,0.026001930236816406,0.08178329467773438
no_neighbours,68,43,1,0.014785051345825195,0.09546124935150146
no_neighbours,69,43,17,-0.02616339921951294,-0.011569023132324219
no_neighbours,70,43,33,0.2565498054027558,0.6279365420341492
no_neighbours,71,43,49,-0.1027902364730835,-0.06784677505493164
no_neighbours,72,43,1,-0.0009579062461853027,0.09577250480651855
no_neighbours,73,43,17,0.05466580390930176,0.1369251012802124
no_neighbours,74,43,33,0.16786661744117737,0.35886311531066895
no_neighbours,75,43,49,0.017620503902435303,0.1423243284225464
no_neighbours,76,43,1,0.06614875793457031,0.2021738290786741
no_neighbours,77,43,17,0.018445849418640137,0.031063199043273926
no_neighbours,78,43,33,0.045449256896972656,0.06251513957977295
no_neighbours,79,43,49,-0.03464341163635254,0.0799570083618164
no_neighbours,68,44,1,-0.17679053544998174,-0.2916664481163025
no_neighbours,69,44,17,-0.13757330179214478,-0.30511558055877663
no_neighbours,70,44,33,-0.09280216693878174,-0.17602813243865967
no_neighbours,71,44,49,-0.25030460953712463,-0.47461140155792236
no_neighbours,72,44,1,-0.24877861142158514,-0.4080168008804319
no_neighbours,73,44,17,-0.19097808003425604,-0.4370434284210204
no_neighbours,74,44,33,-0.10223531723022461,-0.1405172348022462
no_neighbours,75,44,49,-0.18351858854293823,-0.2768781185150142
no_neighbours,76,44,1,-0.17101126909255981,-0.284930944442749
no_neighbours,77,44,17,-0.19620376825332647,-0.40412408113479614
no_neighbours,78,44,33,-0.0710555911064148,-0.11886835098266602
no_neighbours,79,44,49,-0.13081353902816772,-0.24541068077087402
small_grid,68,42,1,0.041036367416381836,-0.005773901939392312
small_grid,69,42,17,0.1369704008102417,0.23225414752960205
small_grid,70,42,33,0.12720268964767456,0.25767117738723755
small_grid,71,42,49,0.012762784957885742,0.010438919067382812
small_grid,72,42,1,0.004654407501220703,-0.05287122726440452
small_grid,73,42,17,0.09731876850128174,0.15336477756500244
small_grid,74,42,33,0.12745183706283564,0.2057231068611145
small_grid,75,42,49,0.06998670101165771,0.10146808624267578
small_grid,76,42,1,0.020092248916625977,0.01451694965362571
small_grid,77,42,17,0.10707330703735352,0.18081939220428467
small_grid,78,42,33,0.13108354806900024,0.1542356014251709
small_grid,79,42,49,0.1466989517211914,0.25328564643859863
small_grid,68,43,1,0.07784056663513184,0.15032660961151123
small_grid,69,43,17,-0.002685368061065674,-0.02488887310028054
small_grid,70,43,33,0.2991118729114533,0.7128542065620425
small_grid,71,43,49,0.05156683921813965,0.21425664424896262
small_grid,72,43,1,0.0847126841545105,0.22405290603637695
