split,variant,seed,scene_id,primary_id,ADE,FDE
val,constant_velocity,-1,56,1,0.3685370683670044,0.739107608795166
val,constant_velocity,-1,57,17,0.10897299647331238,0.08264829218387604
val,constant_velocity,-1,58,33,0.09901753067970276,0.1501591056585312
val,constant_velocity,-1,59,49,0.2132040113210678,0.3759958744049072
val,constant_velocity,-1,60,1,0.2569544017314911,0.5796818137168884
val,constant_velocity,-1,61,17,0.2632157504558563,0.5582469701766968
val,constant_velocity,-1,62,33,0.13712505996227264,0.1833491176366806
val,constant_velocity,-1,63,49,0.4802682101726532,0.9600164294242859
val,constant_velocity,-1,64,1,0.20813006162643433,0.4384888708591461
val,constant_velocity,-1,65,17,0.2471456080675125,0.45386719703674316
val,constant_velocity,-1,66,33,0.1427421271800995,0.23719634115695953
val,constant_velocity,-1,67,49,0.3226592540740967,0.6307040452957153
val,sum_pool,42,56,1,0.4718339741230011,0.8516599535942078
val,sum_pool,42,57,17,0.16490404307842255,0.4377293884754181
val,sum_pool,42,58,33,0.5848072171211243,1.1795789003372192
val,sum_pool,42,59,49,0.9218592643737793,1.6830902099609375
val,sum_pool,42,60,1,0.5220618844032288,0.9839679598808289
val,sum_pool,42,61,17,0.3343825340270996,0.5000998973846436
val,sum_pool,42,62,33,0.6183342337608337,1.2260730266571045
val,sum_pool,42,63,49,0.585933268070221,0.9790369868278503
val,sum_pool,42,64,1,0.619752049446106,1.1741307973861694
val,sum_pool,42,65,17,0.22020499408245087,0.3130449950695038
val,sum_pool,42,66,33,0.6803345680236816,1.2476389408111572
val,sum_pool,42,67,49,0.6438567042350769,1.2339825630187988
val,sum_pool,43,56,1,0.6531924605369568,1.2098174095153809
val,sum_pool,43,57,17,0.20044197142124176,0.5001310706138611
val,sum_pool,43,58,33,0.4393751621246338,0.8899620175361633
val,sum_pool,43,59,49,0.8673185706138611,1.611244559288025
val,sum_pool,43,60,1,0.6284331679344177,1.2203741073608398
val,sum_pool,43,61,17,0.3425138294696808,0.49970704317092896
val,sum_pool,43,62,33,0.46096351742744446,0.9028759598731995
val,sum_pool,43,63,49,0.5731201767921448,1.013106107711792
val,sum_pool,43,64,1,0.6318790316581726,1.1972341537475586
val,sum_pool,43,65,17,0.15718930959701538,0.3293336033821106
val,sum_pool,43,66,33,0.4571582078933716,0.8393759727478027
val,sum_pool,43,67,49,0.7002079486846924,1.3911926746368408
val,sum_pool,44,56,1,0.5606958270072937,1.1221028566360474
val,sum_pool,44,57,17,0.18592379987239838,0.45987677574157715
val,sum_pool,44,58,33,0.43789371848106384,0.9455930590629578
val,sum_pool,44,59,49,0.9138250946998596,1.7516977787017822
val,sum_pool,44,60,1,0.4915280342102051,1.031794548034668
val,sum_pool,44,61,17,0.10695257782936096,0.1002088338136673
val,sum_pool,44,62,33,0.518557608127594,1.0717514753341675
val,sum_pool,44,63,49,0.657258927822113,1.2869741916656494
val,sum_pool,44,64,1,0.5887807011604309,1.2038570642471313
val,sum_pool,44,65,17,0.3002401888370514,0.5605465769767761
val,sum_pool,44,66,33,0.4644908905029297,0.9550160765647888
val,sum_pool,44,67,49,0.7517757415771484,1.5421228408813477
test,constant_velocity,-1,68,1,0.12880359590053558,0.24008490145206451
test,constant_velocity,-1,69,17,0.22331611812114716,0.3891167640686035
test,constant_velocity,-1,70,33,0.13260270655155182,0.1804066300392151
test,constant_velocity,-1,71,49,0.057390641421079636,0.10878870636224747
test,constant_velocity,-1,72,1,0.05551746487617493,0.12856468558311462
test,constant_velocity,-1,73,17,0.14253953099250793,0.2870314419269562
test,constant_velocity,-1,74,33,0.05925402045249939,0.06726013869047165
test,constant_velocity,-1,75,49,0.08454713225364685,0.1522371917963028
test,constant_velocity,-1,76,1,0.143809512257576,0.2850205898284912
test,constant_velocity,-1,77,17,0.10549714416265488,0.17449051141738892
test,constant_velocity,-1,78,33,0.14355075359344482,0.2696110010147095
test,constant_velocity,-1,79,49,0.2247093915939331,0.5238626599311829
test,sum_pool,42,68,1,0.7168278694152832,1.3387068510055542
test,sum_pool,42,69,17,0.7646637558937073,1.3369265794754028
test,sum_pool,42,70,33,0.6987964510917664,1.217017650604248
test,sum_pool,42,71,49,0.7595661282539368,1.4335094690322876
