split,variant,seed,selected_epoch,scenes,ADE,FDE
val,constant_velocity,-1,0,12,0.23733101785182953,0.4491218328475952
val,sum_pool,42,6,12,0.5306887030601501,0.9841694831848145
val,sum_pool,43,7,12,0.5093161463737488,0.9670295119285583
val,sum_pool,44,9,12,0.4981602430343628,1.0026285648345947
test,constant_velocity,-1,0,12,0.12512816488742828,0.2338729053735733
test,sum_pool,42,6,12,0.7426193356513977,1.369923710823059
test,sum_pool,43,7,12,0.6806143522262573,1.3098734617233276
test,sum_pool,44,9,12,0.7190659642219543,1.4452217817306519
