seed,variant,epoch,ADE,FDE
42,sum_pool,1,0.6787605881690979,1.2548402547836304
42,sum_pool,2,0.6933815479278564,1.2907848358154297
42,sum_pool,3,0.8100446462631226,1.5274466276168823
42,sum_pool,4,0.691890299320221,1.310562252998352
42,sum_pool,5,0.591772198677063,1.0738677978515625
42,sum_pool,6,0.5306887030601501,0.9841694831848145
42,sum_pool,7,0.6782688498497009,1.2975356578826904
42,sum_pool,8,0.5632432699203491,1.0281535387039185
42,sum_pool,9,0.5794762969017029,1.054417371749878
42,sum_pool,10,0.5589417815208435,1.0779417753219604
43,sum_pool,1,0.840216338634491,1.5426177978515625
43,sum_pool,2,0.7617037892341614,1.3921860456466675
43,sum_pool,3,0.7039015293121338,1.317996621131897
43,sum_pool,4,0.6215969920158386,1.140084147453308
43,sum_pool,5,0.6204144358634949,1.1547874212265015
43,sum_pool,6,0.6810877919197083,1.268272042274475
43,sum_pool,7,0.5093161463737488,0.9670295119285583
43,sum_pool,8,0.5107610821723938,0.9819254875183105
43,sum_pool,9,0.6694391965866089,1.2506555318832397
43,sum_pool,10,0.5108456015586853,0.9594855308532715
44,sum_pool,1,0.6650431156158447,1.2627758979797363
44,sum_pool,2,0.624801754951477,1.159901738166809
44,sum_pool,3,0.700090765953064,1.3453973531723022
44,sum_pool,4,0.6269681453704834,1.1983363628387451
44,sum_pool,5,0.549362063407898,1.0253292322158813
44,sum_pool,6,0.6073970794677734,1.1516982316970825
44,sum_pool,7,0.583273708820343,1.1343392133712769
44,sum_pool,8,0.5614010691642761,1.05190908908844
44,sum_pool,9,0.4981602430343628,1.0026285648345947
44,sum_pool,10,0.5446922779083252,1.052197813987732
