split,variant,seed,selected_epoch,scenes,ADE,FDE
val,constant_velocity,-1,0,12,0.23733101785182953,0.4491218328475952
val,social,42,8,12,0.520684003829956,1.0080302953720093
val,no_neighbours,42,8,12,0.47788116335868835,0.9437288641929626
val,small_grid,42,6,12,0.5460534691810608,1.0592087507247925
val,large_grid,42,10,12,0.537756621837616,1.003611445426941
val,social,43,8,12,0.4833788275718689,0.9305230975151062
val,no_neighbours,43,10,12,0.4398997128009796,0.8720716834068298
val,small_grid,43,10,12,0.5099561810493469,0.9971671104431152
val,large_grid,43,8,12,0.5234540700912476,0.9808942675590515
val,social,44,9,12,0.4788982570171356,0.9582138061523438
val,no_neighbours,44,10,12,0.4052882492542267,0.8247351050376892
val,small_grid,44,7,12,0.5377500653266907,1.0476983785629272
val,large_grid,44,9,12,0.3893834352493286,0.7663769721984863
test,constant_velocity,-1,0,12,0.12512816488742828,0.2338729053735733
test,social,42,8,12,0.6249734163284302,1.2151192426681519
test,no_neighbours,42,8,12,0.5695674419403076,1.1065797805786133
test,small_grid,42,6,12,0.7101677656173706,1.3405470848083496
test,large_grid,42,10,12,0.7394044995307922,1.3880113363265991
test,social,43,8,12,0.5514162182807922,1.0505262613296509
test,no_neighbours,43,10,12,0.5911642909049988,1.1966575384140015
test,small_grid,43,10,12,0.6323580741882324,1.232068657875061
test,large_grid,43,8,12,0.7285463809967041,1.4042850732803345
test,social,44,9,12,0.6652196049690247,1.349816918373108
test,no_neighbours,44,10,12,0.5025475025177002,1.0528826713562012
test,small_grid,44,7,12,0.7330068945884705,1.3927873373031616
test,large_grid,44,9,12,0.5571420192718506,1.1053886413574219
