split,variant,seed,scene_id,primary_id,ADE,FDE
val,constant_velocity,-1,56,1,0.3685370683670044,0.739107608795166
val,constant_velocity,-1,57,17,0.10897299647331238,0.08264829218387604
val,constant_velocity,-1,58,33,0.09901753067970276,0.1501591056585312
val,constant_velocity,-1,59,49,0.2132040113210678,0.3759958744049072
val,constant_velocity,-1,60,1,0.2569544017314911,0.5796818137168884
val,constant_velocity,-1,61,17,0.2632157504558563,0.5582469701766968
val,constant_velocity,-1,62,33,0.13712505996227264,0.1833491176366806
val,constant_velocity,-1,63,49,0.4802682101726532,0.9600164294242859
val,constant_velocity,-1,64,1,0.20813006162643433,0.4384888708591461
val,constant_velocity,-1,65,17,0.2471456080675125,0.45386719703674316
val,constant_velocity,-1,66,33,0.1427421271800995,0.23719634115695953
val,constant_velocity,-1,67,49,0.3226592540740967,0.6307040452957153
val,social,42,56,1,0.4282563030719757,0.8907249569892883
val,social,42,57,17,0.2118424028158188,0.5751858353614807
val,social,42,58,33,0.6717552542686462,1.3053429126739502
val,social,42,59,49,0.8663786053657532,1.6573454141616821
val,social,42,60,1,0.47507035732269287,1.0423001050949097
val,social,42,61,17,0.407973051071167,0.7732799649238586
val,social,42,62,33,0.7051661610603333,1.3705291748046875
val,social,42,63,49,0.5406278967857361,0.9571747183799744
val,social,42,64,1,0.4682927131652832,0.9464070796966553
val,social,42,65,17,0.19873595237731934,0.23525676131248474
val,social,42,66,33,0.6974506378173828,1.2350986003875732
val,social,42,67,49,0.5766579508781433,1.1077165603637695
val,no_neighbours,42,56,1,0.4981478154659271,1.037358045578003
val,no_neighbours,42,57,17,0.26531264185905457,0.6015374660491943
val,no_neighbours,42,58,33,0.38402387499809265,0.8177831768989563
val,no_neighbours,42,59,49,0.7021955847740173,1.3135877847671509
val,no_neighbours,42,60,1,0.5664623379707336,1.2247258424758911
val,no_neighbours,42,61,17,0.47916021943092346,0.9171891212463379
val,no_neighbours,42,62,33,0.44065484404563904,0.962668776512146
val,no_neighbours,42,63,49,0.5317474007606506,1.0152920484542847
val,no_neighbours,42,64,1,0.4999024569988251,1.0172792673110962
val,no_neighbours,42,65,17,0.3391989767551422,0.44852960109710693
val,no_neighbours,42,66,33,0.5474604964256287,1.0082114934921265
val,no_neighbours,42,67,49,0.4803074896335602,0.9605833888053894
val,small_grid,42,56,1,0.606438934803009,1.2119587659835815
val,small_grid,42,57,17,0.16126735508441925,0.4809086322784424
val,small_grid,42,58,33,0.47278472781181335,1.013608455657959
val,small_grid,42,59,49,0.8321893215179443,1.5119073390960693
val,small_grid,42,60,1,0.6882415413856506,1.4167770147323608
val,small_grid,42,61,17,0.40795472264289856,0.7488960027694702
val,small_grid,42,62,33,0.5584937930107117,1.1869837045669556
val,small_grid,42,63,49,0.6524257063865662,1.1909314393997192
val,small_grid,42,64,1,0.6232978105545044,1.2053924798965454
val,small_grid,42,65,17,0.23034144937992096,0.2673252522945404
val,small_grid,42,66,33,0.6611987352371216,1.2050622701644897
val,small_grid,42,67,49,0.6580071449279785,1.2707536220550537
val,large_grid,42,56,1,0.347989946603775,0.6674150228500366
val,large_grid,42,57,17,0.1625792384147644,0.22018805146217346
val,large_grid,42,58,33,0.6825501918792725,1.3703662157058716
val,large_grid,42,59,49,0.9777560830116272,1.819136619567871
val,large_grid,42,60,1,0.46846941113471985,0.9568120241165161
val,large_grid,42,61,17,0.21943660080432892,0.2859523892402649
val,large_grid,42,62,33,0.6737555861473083,1.356293797492981
val,large_grid,42,63,49,0.6011313796043396,1.0533103942871094
val,large_grid,42,64,1,0.6475082039833069,1.2680526971817017
val,large_grid,42,65,17,0.2307843416929245,0.3793765604496002
val,large_grid,42,66,33,0.7511184215545654,1.359959602355957
val,large_grid,42,67,49,0.6900002360343933,1.3064746856689453
val,social,43,56,1,0.5574445128440857,1.0348858833312988
val,social,43,57,17,0.1508232206106186,0.41117167472839355
val,social,43,58,33,0.5253657698631287,1.0471636056900024
val,social,43,59,49,0.8205327987670898,1.5159332752227783
val,social,43,60,1,0.4382345974445343,0.8626774549484253
val,social,43,61,17,0.38784149289131165,0.6913827657699585
val,social,43,62,33,0.5749689936637878,1.14503812789917
val,social,43,63,49,0.5807662606239319,1.0585696697235107
