seed,variant,epoch,ADE,FDE
42,social,1,0.6551254391670227,1.2059495449066162
42,social,2,0.6602560877799988,1.2288802862167358
42,social,3,0.7890632152557373,1.4915571212768555
42,social,4,0.6446346044540405,1.22024405002594
42,social,5,0.5732264518737793,1.0985530614852905
42,social,6,0.6636755466461182,1.2705097198486328
42,social,7,0.5898820757865906,1.107114315032959
42,social,8,0.520684003829956,1.0080302953720093
42,social,9,0.6233687996864319,1.160484790802002
42,social,10,0.6092966198921204,1.166466236114502
42,no_neighbours,1,0.6514630913734436,1.203693151473999
42,no_neighbours,2,0.6332960724830627,1.1750247478485107
42,no_neighbours,3,0.7131270170211792,1.3488141298294067
42,no_neighbours,4,0.5686913728713989,1.0242692232131958
42,no_neighbours,5,0.6243236660957336,1.2430500984191895
42,no_neighbours,6,0.5538252592086792,1.0848811864852905
42,no_neighbours,7,0.5307366251945496,1.024714708328247
42,no_neighbours,8,0.47788116335868835,0.9437288641929626
42,no_neighbours,9,0.5193617939949036,0.9944906830787659
42,no_neighbours,10,0.5205943584442139,0.9920564293861389
42,small_grid,1,0.6588537096977234,1.2204433679580688
42,small_grid,2,0.6531320214271545,1.2168562412261963
42,small_grid,3,0.7724480032920837,1.463076114654541
42,small_grid,4,0.6046565175056458,1.1346819400787354
42,small_grid,5,0.5986292958259583,1.1703718900680542
42,small_grid,6,0.5460534691810608,1.0592087507247925
42,small_grid,7,0.6562769412994385,1.2778199911117554
42,small_grid,8,0.5727409720420837,1.1071085929870605
42,small_grid,9,0.5972990393638611,1.1261829137802124
42,small_grid,10,0.5975998044013977,1.1272979974746704
42,large_grid,1,0.6669448018074036,1.218485713005066
42,large_grid,2,0.6796335577964783,1.2562576532363892
42,large_grid,3,0.814469575881958,1.5333372354507446
42,large_grid,4,0.659730076789856,1.252282977104187
42,large_grid,5,0.5942241549491882,1.11436927318573
42,large_grid,6,0.5843215584754944,1.1069992780685425
42,large_grid,7,0.5573329925537109,1.0156117677688599
42,large_grid,8,0.6039870977401733,1.1330862045288086
42,large_grid,9,0.6018181443214417,1.1376492977142334
42,large_grid,10,0.537756621837616,1.003611445426941
43,social,1,0.8183134198188782,1.5024033784866333
43,social,2,0.7410916090011597,1.35309898853302
43,social,3,0.6416820883750916,1.1924057006835938
43,social,4,0.6250601410865784,1.1467937231063843
43,social,5,0.6344016194343567,1.1967171430587769
43,social,6,0.6681167483329773,1.2501031160354614
43,social,7,0.5930956602096558,1.1263682842254639
43,social,8,0.4833788275718689,0.9305230975151062
43,social,9,0.6207271218299866,1.178374171257019
43,social,10,0.562692403793335,1.072820782661438
43,no_neighbours,1,0.7677035331726074,1.407911777496338
43,no_neighbours,2,0.719467282295227,1.3200970888137817
43,no_neighbours,3,0.5341979265213013,0.9976652264595032
43,no_neighbours,4,0.5832417011260986,1.0739144086837769
43,no_neighbours,5,0.5791722536087036,1.0986980199813843
43,no_neighbours,6,0.7265104651451111,1.3991175889968872
43,no_neighbours,7,0.5273985266685486,1.0238404273986816
43,no_neighbours,8,0.4747648239135742,0.930974543094635
43,no_neighbours,9,0.5490409731864929,1.0879077911376953
43,no_neighbours,10,0.4398997128009796,0.8720716834068298
43,small_grid,1,0.7951422929763794,1.4615684747695923
43,small_grid,2,0.7603179216384888,1.4002361297607422
43,small_grid,3,0.6185123920440674,1.1567391157150269
43,small_grid,4,0.6492151618003845,1.2212680578231812
43,small_grid,5,0.6040382385253906,1.128127098083496
43,small_grid,6,0.7107160091400146,1.3437937498092651
