split,variant,seed,scene_id,primary_id,ADE,FDE
val,constant_velocity,-1,56,1,0.3685370683670044,0.739107608795166
val,constant_velocity,-1,57,17,0.10897299647331238,0.08264829218387604
val,constant_velocity,-1,58,33,0.09901753067970276,0.1501591056585312
val,constant_velocity,-1,59,49,0.2132040113210678,0.3759958744049072
val,constant_velocity,-1,60,1,0.2569544017314911,0.5796818137168884
val,constant_velocity,-1,61,17,0.2632157504558563,0.5582469701766968
val,constant_velocity,-1,62,33,0.13712505996227264,0.1833491176366806
val,constant_velocity,-1,63,49,0.4802682101726532,0.9600164294242859
val,constant_velocity,-1,64,1,0.20813006162643433,0.4384888708591461
val,constant_velocity,-1,65,17,0.2471456080675125,0.45386719703674316
val,constant_velocity,-1,66,33,0.1427421271800995,0.23719634115695953
val,constant_velocity,-1,67,49,0.3226592540740967,0.6307040452957153
val,directional_sum,42,56,1,0.42072057723999023,0.7815086245536804
val,directional_sum,42,57,17,0.1839192509651184,0.4571102559566498
val,directional_sum,42,58,33,0.7284429669380188,1.4095901250839233
val,directional_sum,42,59,49,0.88288813829422,1.6362611055374146
val,directional_sum,42,60,1,0.5049400925636292,1.0056729316711426
val,directional_sum,42,61,17,0.3558480739593506,0.5899728536605835
val,directional_sum,42,62,33,0.7513577938079834,1.44156813621521
val,directional_sum,42,63,49,0.5874807834625244,1.0385377407073975
val,directional_sum,42,64,1,0.6317225098609924,1.2481443881988525
val,directional_sum,42,65,17,0.32213088870048523,0.5298915505409241
val,directional_sum,42,66,33,0.7936022877693176,1.4161067008972168
val,directional_sum,42,67,49,0.6714494824409485,1.3176300525665283
val,directional_sum,43,56,1,0.5648092031478882,1.0292879343032837
val,directional_sum,43,57,17,0.08419334888458252,0.26421546936035156
val,directional_sum,43,58,33,0.5508849024772644,1.0801143646240234
val,directional_sum,43,59,49,0.8318760991096497,1.5636229515075684
val,directional_sum,43,60,1,0.6075558066368103,1.1827164888381958
val,directional_sum,43,61,17,0.31729695200920105,0.5970780253410339
val,directional_sum,43,62,33,0.5814465284347534,1.148582100868225
val,directional_sum,43,63,49,0.6374865174293518,1.1932436227798462
val,directional_sum,43,64,1,0.5578895807266235,1.0496500730514526
val,directional_sum,43,65,17,0.15190625190734863,0.2487505078315735
val,directional_sum,43,66,33,0.6446027159690857,1.2157608270645142
val,directional_sum,43,67,49,0.677220344543457,1.3232336044311523
val,directional_sum,44,56,1,0.6062604784965515,1.0819765329360962
val,directional_sum,44,57,17,0.2022215723991394,0.49115273356437683
val,directional_sum,44,58,33,0.45666512846946716,0.9160710573196411
val,directional_sum,44,59,49,0.925733745098114,1.6769219636917114
val,directional_sum,44,60,1,0.6241664886474609,1.1734710931777954
val,directional_sum,44,61,17,0.2759570777416229,0.4298567473888397
val,directional_sum,44,62,33,0.5029584169387817,1.0170265436172485
val,directional_sum,44,63,49,0.6744105219841003,1.1688001155853271
val,directional_sum,44,64,1,0.6688194274902344,1.2433621883392334
val,directional_sum,44,65,17,0.12738065421581268,0.19501759111881256
val,directional_sum,44,66,33,0.5588600635528564,1.0075451135635376
val,directional_sum,44,67,49,0.7357320189476013,1.3729978799819946
test,constant_velocity,-1,68,1,0.12880359590053558,0.24008490145206451
test,constant_velocity,-1,69,17,0.22331611812114716,0.3891167640686035
test,constant_velocity,-1,70,33,0.13260270655155182,0.1804066300392151
test,constant_velocity,-1,71,49,0.057390641421079636,0.10878870636224747
test,constant_velocity,-1,72,1,0.05551746487617493,0.12856468558311462
test,constant_velocity,-1,73,17,0.14253953099250793,0.2870314419269562
test,constant_velocity,-1,74,33,0.05925402045249939,0.06726013869047165
test,constant_velocity,-1,75,49,0.08454713225364685,0.1522371917963028
test,constant_velocity,-1,76,1,0.143809512257576,0.2850205898284912
test,constant_velocity,-1,77,17,0.10549714416265488,0.17449051141738892
test,constant_velocity,-1,78,33,0.14355075359344482,0.2696110010147095
test,constant_velocity,-1,79,49,0.2247093915939331,0.5238626599311829
test,directional_sum,42,68,1,0.6528636813163757,1.2217738628387451
test,directional_sum,42,69,17,0.733381986618042,1.3250099420547485
test,directional_sum,42,70,33,0.7136136889457703,1.2759160995483398
test,directional_sum,42,71,49,0.7348648905754089,1.4150683879852295
